threshold,tp,fp,fn,tn,contacted,recall,precision,f1,net_value
0.6749999999999999,97,26,52,425,123,0.6510067114093959,0.7886178861788617,0.7132352941176471,71989.01699999999
0.6799999999999999,97,26,52,425,123,0.6510067114093959,0.7886178861788617,0.7132352941176471,71989.01699999999
0.6849999999999999,94,25,55,426,119,0.6308724832214765,0.7899159663865546,0.7014925373134329,69791.934
0.69,93,25,56,426,118,0.6241610738255033,0.788135593220339,0.6966292134831461,69009.57299999999
0.695,93,24,56,427,117,0.6241610738255033,0.7948717948717948,0.6992481203007519,69159.57299999999
0.7,92,23,57,428,115,0.6174496644295302,0.8,0.696969696969697,68527.21199999998
0.705,90,22,59,429,112,0.6040268456375839,0.8035714285714286,0.6896551724137931,67112.48999999999
0.71,90,21,59,430,111,0.6040268456375839,0.8108108108108109,0.6923076923076923,67262.48999999999
0.715,89,21,60,430,110,0.5973154362416108,0.8090909090909091,0.6872586872586872,66480.12899999999
0.72,88,19,61,432,107,0.5906040268456376,0.822429906542056,0.6875,65997.76799999998
0.725,88,18,61,433,106,0.5906040268456376,0.8301886792452831,0.6901960784313725,66147.76799999998
0.73,88,18,61,433,106,0.5906040268456376,0.8301886792452831,0.6901960784313725,66147.76799999998
0.735,88,18,61,433,106,0.5906040268456376,0.8301886792452831,0.6901960784313725,66147.76799999998
0.74,87,16,62,435,103,0.5838926174496645,0.8446601941747572,0.6904761904761905,65665.40699999999
0.7449999999999999,86,14,63,437,100,0.5771812080536913,0.86,0.6907630522088354,65183.04599999999
0.7499999999999999,84,14,65,437,98,0.5637583892617449,0.8571428571428571,0.680161943319838,63618.32399999999
0.7549999999999999,83,13,66,438,96,0.5570469798657718,0.8645833333333334,0.6775510204081633,62985.96299999999
0.7599999999999999,83,13,66,438,96,0.5570469798657718,0.8645833333333334,0.6775510204081633,62985.96299999999
0.7649999999999999,82,13,67,438,95,0.5503355704697986,0.8631578947368421,0.6721311475409836,62203.601999999984
0.7699999999999999,80,13,69,438,93,0.5369127516778524,0.8602150537634409,0.6611570247933884,60638.87999999999
0.7749999999999999,79,13,70,438,92,0.5302013422818792,0.8586956521739131,0.6556016597510373,59856.518999999986
0.7799999999999999,78,13,71,438,91,0.5234899328859061,0.8571428571428571,0.65,59074.157999999996
0.7849999999999999,78,13,71,438,91,0.5234899328859061,0.8571428571428571,0.65,59074.157999999996
